examName,subject,examDate,startTime,endTime,status,branch,allottedHalls
Data Structures & Algorithms,CS301,2026-11-10,09:30,12:30,SCHEDULED,CSE,LH-101;LH-102;LH-201;LH-202
Digital Signal Processing,EC301,2026-11-10,09:30,12:30,SCHEDULED,ECE,LH-201;LH-301
Thermodynamics & Heat Transfer,ME301,2026-11-10,09:30,12:30,SCHEDULED,MECH,LH-202;LH-301
Structural Analysis & Design,CE301,2026-11-10,09:30,12:30,SCHEDULED,CIVIL,LH-101;LH-102
Database Management Systems,CS302,2026-11-12,14:00,17:00,SCHEDULED,CSE,LH-101;LH-102;LH-201
VLSI Design & Embedded Systems,EC302,2026-11-12,14:00,17:00,SCHEDULED,ECE,LH-201;LH-301
Fluid Mechanics & Machinery,ME302,2026-11-12,14:00,17:00,SCHEDULED,MECH,LH-202;LH-301
Geotechnical Engineering,CE302,2026-11-12,14:00,17:00,SCHEDULED,CIVIL,LH-101;LH-102
Computer Networks & Security,CS303,2026-11-14,09:30,12:30,SCHEDULED,CSE,LH-101;LH-102;LH-201;LH-202
Microprocessors & Interfacing,EC303,2026-11-14,09:30,12:30,SCHEDULED,ECE,LH-201;LH-301
Kinematics & Dynamics of Machines,ME303,2026-11-14,09:30,12:30,SCHEDULED,MECH,LH-202;LH-301
Transportation & Highway Engg,CE303,2026-11-14,09:30,12:30,SCHEDULED,CIVIL,LH-101;LH-102
